# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1786
#@/user_id	Alienware Area51 R5
a 	啊	c=12 d=4.53415 t=1786
bu chu 	不出	c=1 d=0.247833 t=1786
bu cuo 	不錯	c=1 d=0.0773047 t=1786
bu de 	不得	c=1 d=0.955997 t=1786
bu dui 	不對	c=1 d=0.489192 t=1786
bu fang bian 	不方便	c=1 d=0.275271 t=1786
bu fen 	部分	c=1 d=0.891366 t=1786
bu gan 	不敢	c=1 d=0.247333 t=1786
bu gen 	不跟	c=1 d=0.0925506 t=1786
bu guan 	不管	c=1 d=0.18452 t=1786
bu guo 	不過	c=1 d=0.382893 t=1786
bu hui 	不會	c=1 d=0.2334 t=1786
bu ke yi 	不可以	c=1 d=0.0652193 t=1786
bu rong yi 	不容易	c=1 d=0.0678809 t=1786
bu shang 	不上	c=1 d=0.257947 t=1786
bu shi 	不是	c=5 d=0.780881 t=1786
bu shu 	部署	c=1 d=0.812211 t=1786
bu suan 	不算	c=1 d=0.293758 t=1786
bu xing 	🆖	c=1 d=0.960789 t=1786
bu xing 	🙅	c=1 d=0.965605 t=1786
bu yao 	不要	c=3 d=0.274528 t=1786
bu yi zhi 	不一致	c=1 d=0.718924 t=1786
bu yong 	不用	c=2 d=0.932394 t=1786
bu zhao ji 	不着急	c=1 d=0.163654 t=1786
bu zhi chi 	不支持	c=2 d=0.390567 t=1786
bu zhi dao 	不知道	c=12 d=2.88783 t=1786
bu zhi suo cuo 	不知所措	c=1 d=0.14808 t=1786
cai 	才	c=7 d=1.66011 t=1786
cai hao 	纔好	c=1 d=0.0893673 t=1786
cai ji 	採集	c=0 d=7.50815e-05 t=1786
cai ji wen ben 	採集文本	c=1 d=0.000376346 t=1786
cai ji yang ben 	採集樣本	c=1 d=0.000378233 t=1786
can 	慘	c=1 d=0.0788664 t=1786
can kao 	參考	c=1 d=0.273898 t=1786
cang ku 	倉庫	c=1 d=0.231078 t=1786
cao 	曹	c=1 d=0.108067 t=1786
cao zuo 	操作	c=1 d=0.444858 t=1786
ce liang 	測量	c=4 d=1.11111 t=1786
ce lve 	策略	c=1 d=0.111359 t=1786
ce shi 	測試	c=6 d=4.08672 t=1786
cha dao 	查到	c=0 d=0.0529935 t=1786
cha jian 	插件	c=2 d=1.08456 t=1786
cha xun 	查詢	c=1 d=0.506617 t=1786
chang jiu 	長久	c=0 d=0.00490458 t=1786
chen chao 	陳超	c=3 d=2.47748 t=1786
cheng gong 	成功	c=1 d=0.918512 t=1786
cheng xu 	程序	c=1 d=0.102797 t=1786
chi 	吃	c=1 d=0.106992 t=1786
chi nai 	吃奶	c=1 d=0.909373 t=1786
chong lang 	🏄	c=2 d=1.88825 t=1786
chong lang 	🏄‍♀	c=1 d=0.955997 t=1786
chong lang 	🏄‍♂	c=1 d=0.951229 t=1786
chong tu 	衝突	c=1 d=0.729789 t=1786
chong xin 	重新	c=1 d=0.373439 t=1786
chong zhuang 	重裝	c=2 d=0.515412 t=1786
chu fa 	出發	c=3 d=1.62233 t=1786
chu qu 	出去	c=1 d=0.263158 t=1786
chu ru zheng 	出入證	c=1 d=0.0880368 t=1786
chu xian 	出現	c=2 d=1.58089 t=1786
chu zai 	處在	c=1 d=0.615697 t=1786
chuan bo 	傳播	c=1 d=0.136695 t=1786
chuan ren 	傳人	c=1 d=0.0668703 t=1786
chuang kou 	窗口	c=1 d=0.404851 t=1786
ci hui 	詞彙	c=0 d=0.0744532 t=1786
ci ku 	詞庫	c=2 d=0.0412017 t=1786
cong 	從	c=2 d=0.360595 t=1786
cuo 	錯	c=2 d=0.501218 t=1786
cuo wu 	錯誤	c=4 d=1.5245 t=1786
da 	打	c=3 d=2.68163 t=1786
da 	答	c=1 d=0.127454 t=1786
da che 	打車	c=1 d=0.286505 t=1786
da gai 	大概	c=1 d=0.351692 t=1786
da jia 	大家	c=1 d=0.0800583 t=1786
da jia hao 	大家好	c=1 d=0.718924 t=1786
da quan 	大全	c=0 d=0.0744532 t=1786
da sha 	大廈	c=1 d=0.946779 t=1786
da shen 	大神	c=2 d=0.519577 t=1786
da xie 	大寫	c=1 d=0.904837 t=1786
da yin 	打印	c=1 d=0.927743 t=1786
da zhong qi che 	大衆汽車	c=1 d=0.852144 t=1786
da zi 	打字	c=1 d=0.937067 t=1786
dai 	帶	c=2 d=0.682073 t=1786
dai li 	代理	c=3 d=1.97787 t=1786
dai ma 	代碼	c=1 d=0.571209 t=1786
dan 	但	c=1 d=0.574072 t=1786
dan shi 	但是	c=5 d=1.82858 t=1786
dan yuan 	但願	c=0 d=0.00490458 t=1786
dan yuan ren chang jiu 	但願人長久	c=1 d=0.0492917 t=1786
dao 	到	c=12 d=3.66881 t=1786
dao lai 	到來	c=1 d=0.38868 t=1786
dao le 	到了	c=0 d=0.083527 t=1786
dao shi 	到時	c=1 d=0.299692 t=1786
de 	的	c=93 d=16.5183 t=1786
de dong xi 	的東西	c=1 d=0.0702988 t=1786
de shi hou 	的時候	c=0 d=0.083527 t=1786
dei 	得	c=2 d=0.724447 t=1786
deng 	等	c=3 d=0.763217 t=1786
deng si 	等死	c=1 d=0.402524 t=1786
di 	地	c=0 d=0.0358796 t=1786
di dian 	地點	c=1 d=0.265803 t=1786
di yu 	地獄	c=1 d=0.113042 t=1786
di yun 	底蘊	c=1 d=0.106992 t=1786
dian 	店	c=1 d=0.0784731 t=1786
dian 	點	c=2 d=1.02585 t=1786
dian nao 	電腦	c=1 d=0.67368 t=1786
ding 	定	c=1 d=0.980199 t=1786
ding wei 	定位	c=1 d=0.496585 t=1786
dong de 	懂得	c=1 d=0.97531 t=1786
dong xi 	東西	c=3 d=0.163384 t=1786
dou 	都	c=5 d=1.19398 t=1786
dou gei ni 	都給你	c=1 d=0.0824965 t=1786
dou ke yi 	都可以	c=1 d=1 t=1786
dou shi 	都是	c=5 d=1.51048 t=1786
dou you 	都有	c=1 d=0.155011 t=1786
dou you zhe me yi ge 	都有這麼一個	c=1 d=0.895834 t=1786
duan kou 	端口	c=0 d=0.099005 t=1786
dui 	對	c=2 d=0.688891 t=1786
dui mian 	對面	c=1 d=0.865022 t=1786
dui qi 	對齊	c=3 d=2.84109 t=1786
dui xiang 	對象	c=1 d=0.966343 t=1786
duo 	多	c=4 d=1.00438 t=1786
duo shuo 	多說	c=1 d=0.0982736 t=1786
duo xian cheng 	多線程	c=1 d=0.733447 t=1786
duo xie 	多謝	c=1 d=0.637628 t=1786
eee 	(⊙﹏⊙)	c=1 d=0.985112 t=1786
en 	恩	c=1 d=0.440432 t=1786
er 	而	c=2 d=0.498571 t=1786
er bu shi 	而不是	c=1 d=0.400517 t=1786
er qie 	而且	c=1 d=0.25924 t=1786
er shi 	而是	c=1 d=0.170333 t=1786
fa 	法	c=4 d=1.94099 t=1786
fa 	發	c=1 d=0.927743 t=1786
fa xian 	發現	c=2 d=0.174044 t=1786
fan hui 	返回	c=1 d=0.453845 t=1786
fan ti 	繁體	c=1 d=0.212248 t=1786
fan yi 	翻譯	c=2 d=0.341805 t=1786
fang an 	方案	c=2 d=0.991399 t=1786
fang bian 	方便	c=1 d=0.962819 t=1786
fang bian mian 	方便麪	c=1 d=0.0761471 t=1786
fang bian mian hao chi ma 	方便麪好吃嗎	c=1 d=0.763379 t=1786
fang bian xing neng 	方便性能	c=1 d=0.722527 t=1786
fang fa 	方法	c=2 d=1.12597 t=1786
fang fang 	方方	c=1 d=0.0808629 t=1786
fang kai 	放開	c=2 d=0.13308 t=1786
fang shi 	方式	c=1 d=0.251579 t=1786
fei fa 	非法	c=1 d=0.186374 t=1786
fei hua 	廢話	c=1 d=0.144424 t=1786
fei yan 	肺炎	c=0 d=0.0970446 t=1786
fen fen 	紛紛	c=0 d=0.0126186 t=1786
fen fen rao rao 	紛紛擾擾	c=1 d=0.126818 t=1786
feng bao 	風暴	c=1 d=0.763379 t=1786
feng fa 	風發	c=1 d=0.0485578 t=1786
feng feng 	風風	c=1 d=0.0746459 t=1786
feng huo 	烽火	c=1 d=0.04573 t=1786
feng kuang 	瘋狂	c=1 d=0.951229 t=1786
fu hao 	符號	c=1 d=0.970446 t=1786
ga 	噶	c=5 d=4.23032 t=1786
ga ga 	嘎嘎	c=58 d=16.3206 t=1786
ga ga ga ga ga ga guan 	嘎嘎嘎嘎嘎嘎管	c=1 d=0.548812 t=1786
ga ga guan 	嘎嘎管	c=2 d=0.647488 t=1786
gai 	改	c=2 d=0.545173 t=1786
gai 	該	c=2 d=0.932394 t=1786
gan cui 	乾脆	c=1 d=0.955997 t=1786
gan ga 	😅	c=1 d=0.826959 t=1786
gan ga 	😳	c=1 d=0.831104 t=1786
gan jing 	乾淨	c=1 d=0.0523397 t=1786
gan jue 	感覺	c=3 d=0.941982 t=1786
gan ma 	幹嘛	c=1 d=0.826959 t=1786
gan zai 	趕在	c=1 d=0.158817 t=1786
gang 	剛	c=2 d=0.674282 t=1786
gang hua 	鋼化	c=1 d=0.421052 t=1786
gang kai shi 	剛開始	c=1 d=0.472367 t=1786
gao 	搞	c=2 d=0.49074 t=1786
gao ding 	搞定	c=1 d=0.235746 t=1786
gao su 	告訴	c=2 d=0.280028 t=1786
gao su ta shi qing 	告訴他實情	c=1 d=0.261846 t=1786
ge 	個	c=4 d=1.48873 t=1786
ge ren 	個人	c=1 d=0.0207543 t=1786
gei ni 	給你	c=2 d=0.147449 t=1786
gei wo 	給我	c=1 d=0.177284 t=1786
gen 	跟	c=3 d=0.854723 t=1786
gen tuan 	跟團	c=1 d=0.822835 t=1786
geng 	更	c=1 d=0.316637 t=1786
geng duo 	更多	c=1 d=0.000370744 t=1786
geng gai 	更改	c=1 d=0.137381 t=1786
geng jia 	更加	c=1 d=0.755784 t=1786
geng xin 	更新	c=1 d=0.113042 t=1786
gong an ji guan 	公安機關	c=1 d=0.70822 t=1786
gong jian 	工件	c=4 d=0.489341 t=1786
gong ju 	工具	c=2 d=0.694054 t=1786
gong neng 	功能	c=3 d=0.336968 t=1786
gong si 	公司	c=1 d=0.198891 t=1786
gong xiang 	共享	c=3 d=1.76652 t=1786
gong ying shang 	供應商	c=1 d=0.282239 t=1786
gou ben 	夠笨	c=1 d=0.794534 t=1786
gu ji 	估計	c=2 d=0.808232 t=1786
gu ji shi 	估計是	c=1 d=0.357007 t=1786
gu tou 	骨頭	c=1 d=0.970446 t=1786
guan 	冠	c=0 d=0.0970446 t=1786
guan 	管	c=3 d=1.72741 t=1786
guan fang 	官方	c=4 d=1.29359 t=1786
guo 	過	c=5 d=2.16586 t=1786
guo ji 	國際	c=1 d=0.904837 t=1786
guo jia 	國家	c=2 d=1.39075 t=1786
guo jie 	過節	c=1 d=0.687289 t=1786
guo zi 	果子	c=2 d=0.096065 t=1786
ha ha 	哈哈	c=1 d=0.0889216 t=1786
ha ha 	😄	c=5 d=3.87896 t=1786
ha ha ha 	哈哈哈	c=1 d=0.085435 t=1786
hai 	海	c=1 d=0.109154 t=1786
hai 	還	c=2 d=0.947693 t=1786
hai bu 	還不	c=0 d=0.0946485 t=1786
hai bu cuo 	還不錯	c=2 d=1.69346 t=1786
hai hao 	還好	c=1 d=0.416862 t=1786
hai kuo tian kong 	海闊天空	c=1 d=0.927743 t=1786
hai neng 	還能	c=1 d=0.214381 t=1786
hai shi 	還是	c=5 d=1.49781 t=1786
hai yao 	還要	c=1 d=0.494109 t=1786
hai you 	還有	c=1 d=0.985112 t=1786
han guo 	韓國	c=1 d=0.965605 t=1786
han shu 	函數	c=1 d=0.451581 t=1786
hao 	好	c=11 d=3.67423 t=1786
hao 	豪	c=1 d=0.640824 t=1786
hao bu hao 	好不好	c=0 d=0.0559898 t=1786
hao chi 	好吃	c=0 d=0.0759572 t=1786
hao jiao 	嚎叫	c=1 d=0.0608101 t=1786
hao kan 	好看	c=0 d=3.0659e-05 t=1786
hao kan le 	好看了	c=1 d=0.000308126 t=1786
hao shuo 	好說	c=1 d=0.843665 t=1786
hao yong 	好用	c=1 d=0.722527 t=1786
he 	和	c=6 d=2.61615 t=1786
he li 	合理	c=1 d=0.0480747 t=1786
he shi 	合適	c=1 d=0.000311223 t=1786
he xin 	核心	c=1 d=0.970446 t=1786
hei 	⚫	c=1 d=0.904837 t=1786
hei hei 	嘿嘿	c=1 d=0.0229371 t=1786
hei hei 	😀	c=3 d=2.52151 t=1786
hei hei 	😁	c=2 d=0.0466841 t=1786
hen 	很	c=2 d=1.62932 t=1786
hen hao 	很好	c=2 d=0.852734 t=1786
heng pai 	橫排	c=1 d=0.0724398 t=1786
hong wen 	鴻文	c=1 d=0.83527 t=1786
hou 	後	c=2 d=0.878146 t=1786
hou lai 	後來	c=2 d=1.09069 t=1786
hou mian 	後面	c=1 d=0.249075 t=1786
hou xu 	後續	c=1 d=0.238115 t=1786
hu huan 	互換	c=1 d=0.927744 t=1786
hua 	話	c=4 d=1.12723 t=1786
hua lian 	華聯	c=1 d=0.079659 t=1786
hua min han zun guo ji 	华敏翰尊国际	c=1 d=0.942484 t=1786
hua min han zun guo ji da sha 	华敏翰尊国际大廈	c=2 d=1.73438 t=1786
huan 	換	c=2 d=0.441826 t=1786
huan ying 	歡迎	c=1 d=0.0220377 t=1786
huang li 	黃曆	c=0 d=3.2718e-05 t=1786
huang li zhong 	黃曆中	c=1 d=0.00032882 t=1786
huang li zhong 	黃立忠	c=3 d=1.53826 t=1786
hui 	會	c=6 d=1.76812 t=1786
hui dao 	回到	c=1 d=0.196912 t=1786
hui lai 	回來	c=1 d=0.105928 t=1786
hui qu 	回去	c=2 d=0.148931 t=1786
hui you 	會有	c=1 d=0.97531 t=1786
ji cheng 	集成	c=1 d=0.0702988 t=1786
ji dian 	幾點	c=1 d=0.353455 t=1786
ji ge 	幾個	c=1 d=0.254107 t=1786
ji hua 	計劃	c=0 d=0.0965605 t=1786
ji huo 	激活	c=1 d=0.83527 t=1786
ji liang 	計量	c=1 d=0.0645703 t=1786
ji shu 	技術	c=1 d=0.511709 t=1786
ji wei 	幾位	c=1 d=0.640824 t=1786
ji xu 	繼續	c=9 d=3.21424 t=1786
jia 	加	c=1 d=1.07368 t=1786
jia ding 	嘉定	c=1 d=0.26982 t=1786
jia zai 	加載	c=2 d=0.774777 t=1786
jian 	件	c=1 d=0.119433 t=1786
jian 	見	c=1 d=0.386741 t=1786
jian cha 	檢查	c=1 d=0.16696 t=1786
jian chi 	堅持	c=2 d=0.215456 t=1786
jian hang 	建行	c=1 d=0.767206 t=1786
jian kong 	監控	c=3 d=1.64782 t=1786
jian shao 	減少	c=2 d=0.912286 t=1786
jian shi 	監視	c=3 d=1.79252 t=1786
jian shi 	見識	c=1 d=0.0944202 t=1786
jian ti 	簡體	c=1 d=0.216536 t=1786
jian yi 	建議	c=1 d=0.790571 t=1786
jiang qi 	講起	c=1 d=0.33454 t=1786
jiang ta 	將它	c=1 d=0.19205 t=1786
jiao 	叫	c=1 d=0.565525 t=1786
jie da 	解答	c=1 d=0.647265 t=1786
jie fang 	解放	c=1 d=0.909373 t=1786
jie guo 	結果	c=17 d=4.34917 t=1786
jie jue 	解決	c=3 d=1.01266 t=1786
jie shou 	接受	c=2 d=1.81004 t=1786
jie shu 	結束	c=1 d=0.677057 t=1786
jie xia lai 	接下來	c=0 d=0.0763379 t=1786
jie xia lai wo long zhong xuan bu 	接下來我隆重宣佈	c=2 d=1.53826 t=1786
jin du 	進度	c=2 d=0.800378 t=1786
jin tian 	今天	c=1 d=0.980199 t=1786
jin tou 	盡頭	c=1 d=0.183599 t=1786
jin xing 	進行	c=4 d=1.57931 t=1786
jing guo 	經過	c=1 d=0.433874 t=1786
jing li 	經歷	c=1 d=0.70822 t=1786
jing li 	經理	c=1 d=0.331211 t=1786
jiu 	就	c=11 d=1.92221 t=1786
jiu hao 	就好	c=1 d=0.0225956 t=1786
jiu hui 	就會	c=1 d=0.256661 t=1786
jiu shi 	就是	c=8 d=1.67828 t=1786
jiu zai 	就在	c=1 d=0.440432 t=1786
ju mian 	局面	c=1 d=0.299692 t=1786
ju ti 	具體	c=1 d=0.852144 t=1786
jue de 	覺得	c=2 d=1.01361 t=1786
jue ding 	決定	c=1 d=0.537944 t=1786
jue se 	角色	c=1 d=0.995012 t=1786
ka 	卡	c=5 d=1.14961 t=1786
ka dun 	卡頓	c=1 d=0.946485 t=1786
ka ga 	卡噶	c=10 d=5.71366 t=1786
ka ga ga 	卡嘎嘎	c=8 d=2.01524 t=1786
ka gu 	髂骨	c=9 d=3.32505 t=1786
ka gu ge 	髂骨個	c=1 d=0.00975476 t=1786
ka hao 	卡號	c=0 d=0.0612626 t=1786
ka hao si 	卡號死	c=1 d=0.615697 t=1786
ka shi 	喀什	c=2 d=1.13621 t=1786
ka shi guan 	喀什管	c=1 d=0.71177 t=1786
kai 	開	c=6 d=1.72402 t=1786
kai fa 	開發	c=0 d=0.00605068 t=1786
kai fa na ge kai 	開發哪個開	c=1 d=0.0608101 t=1786
kai ga ga 	開嘎嘎	c=1 d=0.941765 t=1786
kai guan 	開關	c=6 d=1.47923 t=1786
kai hui 	開會	c=0 d=0.0292293 t=1786
kai hui si 	開會死	c=1 d=0.293758 t=1786
kai jiu shi 	開就是	c=1 d=0.477114 t=1786
kai ka gu 	開髂骨	c=1 d=0.433874 t=1786
kai kai 	開開	c=1 d=0.00923273 t=1786
kai qi 	開啓	c=1 d=0.082085 t=1786
kai shi 	開始	c=120 d=20.1457 t=1786
kai shi chu xian 	開始出現	c=1 d=0.704688 t=1786
kai shi guan 	開始管	c=1 d=0.683861 t=1786
kai shi shi shi 	開始實施	c=0 d=0.0965605 t=1786
kai shi shi shi ji hua bu shu fang an 	開始實施計劃部署方案	c=1 d=0.970446 t=1786
kai shi shuo ming shi li de shi hou dao le mei you shen me 	開始說明實力的時候到了沒有什麼	c=1 d=0.839457 t=1786
kai shi zhi dao yi qie hai shi 	開始知道一切還是	c=1 d=0.873716 t=1786
kai xin 	開心	c=2 d=1.71461 t=1786
kai xin 	😺	c=3 d=2.35542 t=1786
kai zhe 	開着	c=0 d=0.0369723 t=1786
kan 	看	c=3 d=1.56501 t=1786
kan chu 	看出	c=1 d=0.0596059 t=1786
kan jian 	看見	c=0 d=0.00958472 t=1786
kan kan 	看看	c=1 d=0.0914534 t=1786
kan kan kan kan ka ga ga 	看看看看卡嘎嘎	c=1 d=0.551563 t=1786
kan kan kan kan kan kan kan kan kan kan ke kong gui 	看看看看看看看看看看可控硅	c=1 d=0.451581 t=1786
kan qi lai 	看起來	c=1 d=0.481909 t=1786
kan si 	看似	c=1 d=0.0478349 t=1786
kan si hao 	看似好	c=1 d=0.0902655 t=1786
kan si shi 	看似是	c=1 d=0.0862936 t=1786
kan xi 	看戲	c=1 d=0.0510474 t=1786
kao 	靠	c=1 d=0.763379 t=1786
kao bei 	拷貝	c=2 d=0.578298 t=1786
ke hu 	客戶	c=3 d=0.87157 t=1786
ke kong gui 	可控硅	c=0 d=0.0449329 t=1786
ke neng 	可能	c=2 d=1.19555 t=1786
ke wu 	可惡	c=1 d=0.0948935 t=1786
ke xiang er zhi 	可想而知	c=1 d=0.0939493 t=1786
ke yi 	可以	c=13 d=2.41146 t=1786
ken gan a 	肯幹啊	c=1 d=0.778801 t=1786
ken ng 	肯🆖	c=1 d=0.895834 t=1786
kong ge 	空格	c=1 d=0.621885 t=1786
kong zhi 	控制	c=1 d=0.00900478 t=1786
kong zhong 	空中	c=1 d=0.690734 t=1786
ku xiao 	😁	c=4 d=3.31984 t=1786
ku xiao 	😂	c=2 d=1.75113 t=1786
ku xiao 	😼	c=2 d=1.75991 t=1786
kuai 	快	c=2 d=1.10796 t=1786
kuai su 	快速	c=1 d=0.618783 t=1786
kuan guan jie 	髖關節	c=1 d=0.66365 t=1786
kuo hao 	括號	c=1 d=0.214381 t=1786
lai 	來	c=1 d=0.802519 t=1786
lai dao 	來到	c=2 d=0.0439666 t=1786
lai kan 	來看	c=1 d=0.00032718 t=1786
lang 	狼	c=3 d=1.14934 t=1786
lang hao 	狼嚎	c=4 d=1.56166 t=1786
lang hao 	狼毫	c=1 d=0.965605 t=1786
lao shi 	老是	c=2 d=0.368534 t=1786
le 	了	c=42 d=5.54877 t=1786
lei si 	類似	c=1 d=0.985112 t=1786
li 	力	c=2 d=1.06871 t=1786
li 	李	c=1 d=1 t=1786
li 	裏	c=1 d=0.418952 t=1786
li jie 	理解	c=1 d=0.782705 t=1786
li li jie xin ku 	粒粒皆辛苦	c=1 d=0.980199 t=1786
li mian 	裏面	c=1 d=1.01511 t=1786
li min 	李敏	c=1 d=0.927743 t=1786
li shi 	歷史	c=2 d=0.239165 t=1786
li xiang 	理想	c=0 d=0.0715338 t=1786
li xiang qing kuang xia 	理想情況下	c=1 d=0.718924 t=1786
li yan min 	李儼敏	c=3 d=2.47095 t=1786
lian jie 	連接	c=5 d=1.60715 t=1786
liang 	靚	c=1 d=0.771052 t=1786
liang ge 	兩個	c=1 d=0.0682212 t=1786
liang tian 	兩天	c=1 d=0.241714 t=1786
liao 	了	c=1 d=0.960789 t=1786
lin 	林	c=1 d=0.565525 t=1786
lin li jin zhi 	淋漓盡致	c=1 d=0.000322309 t=1786
ling 	〇	c=2 d=1.86593 t=1786
liu chang 	流暢	c=1 d=0.70822 t=1786
long 	龍	c=2 d=0.127452 t=1786
long sheng 	隆盛	c=1 d=0.99005 t=1786
long tai tou 	龍擡頭	c=1 d=0.229925 t=1786
long zhong 	隆重	c=1 d=0.859042 t=1786
lu jing 	路徑	c=3 d=0.886308 t=1786
ma 	嗎	c=5 d=2.14272 t=1786
mai 	買	c=1 d=0.103312 t=1786
mang ran 	茫然	c=1 d=0.831104 t=1786
mao sui zi jian 	毛遂自薦	c=2 d=0.755988 t=1786
mei 	沒	c=7 d=1.43244 t=1786
mei bi yao 	沒必要	c=1 d=0.67032 t=1786
mei cha dao 	沒查到	c=1 d=0.532592 t=1786
mei guo 	美國	c=2 d=1.90722 t=1786
mei kan jian 	沒看見	c=1 d=0.0963276 t=1786
mei ren 	沒人	c=1 d=0.000337144 t=1786
mei you 	沒有	c=11 d=3.10725 t=1786
mei you shen me 	沒有什麼	c=0 d=0.083527 t=1786
men 	門	c=1 d=0.201897 t=1786
mi xian 	米線	c=1 d=0.0475963 t=1786
mian 	麪	c=1 d=0.0812682 t=1786
miao 	繆	c=1 d=0.329559 t=1786
ming cheng 	名稱	c=1 d=0.562705 t=1786
ming ming 	明明	c=1 d=0.860708 t=1786
ming ming zhong 	冥冥中	c=1 d=0.273898 t=1786
ming tang 	名堂	c=1 d=0.250324 t=1786
ming tian 	明天	c=4 d=1.69549 t=1786
ming yun 	命運	c=1 d=0.219808 t=1786
ming zi 	名字	c=1 d=0.202909 t=1786
mo ban 	模板	c=3 d=0.372647 t=1786
mo ren 	默認	c=1 d=0.794534 t=1786
mo ting chuan lin da ye sheng 	莫聽穿林打葉聲	c=1 d=0.970446 t=1786
mu biao 	目標	c=2 d=1.41543 t=1786
mu lu 	目錄	c=1 d=0.557106 t=1786
mu qian 	目前	c=3 d=1.09423 t=1786
mu yi cheng zhou 	木已成舟	c=1 d=0.000320702 t=1786
na 	哪	c=1 d=0.416862 t=1786
na 	拿	c=3 d=0.222091 t=1786
na 	那	c=4 d=0.751043 t=1786
na bian 	那邊	c=3 d=0.811659 t=1786
na ge 	哪個	c=2 d=0.715086 t=1786
na li 	哪裏	c=1 d=0.767206 t=1786
na me 	那麼	c=3 d=0.843179 t=1786
na xia 	拿下	c=1 d=0.107528 t=1786
nai xin 	耐心	c=1 d=0.644036 t=1786
ne 	呢	c=7 d=2.21665 t=1786
nei cun 	內存	c=0 d=0.0927743 t=1786
nei cun xie lou 	內存泄漏	c=2 d=1.86946 t=1786
nei rong 	內容	c=1 d=0.895834 t=1786
neng 	能	c=2 d=0.802958 t=1786
neng fou 	能否	c=1 d=0.123687 t=1786
neng gou 	能夠	c=1 d=0.0197421 t=1786
ni 	你	c=14 d=3.49877 t=1786
ni hao ma 	你好嗎	c=2 d=1.3715 t=1786
ni he 	擬合	c=0 d=0.0856415 t=1786
ni kai xin ma hao bu hao 	你開心嗎好不好	c=1 d=0.562705 t=1786
ni men 	你們	c=1 d=0.0934807 t=1786
ni xiang 	逆向	c=2 d=0.483019 t=1786
nian 	年	c=1 d=0.748264 t=1786
nian qing 	年輕	c=1 d=0.729789 t=1786
niang qin 	孃親	c=1 d=0.211189 t=1786
niu zhuan 	扭轉	c=1 d=0.29671 t=1786
nong 	弄	c=2 d=0.496946 t=1786
nu li 	努力	c=0 d=0.0151072 t=1786
nu li dou bai fei 	努力都白費	c=1 d=0.151829 t=1786
pa 	怕	c=1 d=0.247833 t=1786
pang da 	龐大	c=1 d=0.321422 t=1786
pei zhi 	配置	c=8 d=2.25977 t=1786
peng mian 	碰面	c=1 d=0.355226 t=1786
pu dong 	浦東	c=1 d=0.272532 t=1786
qi 	氣	c=1 d=0.0992613 t=1786
qi bu shi 	豈不是	c=2 d=0.752014 t=1786
qi dong 	啓動	c=1 d=0.514274 t=1786
qi eh 	氣誒	c=1 d=0.99005 t=1786
qi lai 	起來	c=1 d=0.548812 t=1786
qi ta 	其他	c=7 d=1.66859 t=1786
